Batch,M_Trans,W_PH,W_ECppm500,A_CO2ppm,A_RH,L_r,M_Accum
1,0.0,6.5,757.142857142857,0.0,0.0,0.0,0.0
2,0.0,6.5,757.142857142857,0.0,0.0,18.3765182186235,0.0
3,0.0,6.5,764.285714285714,0.0,0.0,0.0,0.0
4,0.0,6.5,764.285714285714,0.0,0.0,18.3765182186235,0.0
5,0.0,6.5,757.142857142857,516.4,71.0,0.0,1.47404599307106
6,0.0,6.5,764.285714285714,516.4,71.0,0.0,1.47404599307106
7,0.0,6.5,757.142857142857,518.8,71.0,0.0,1.40665137197699
8,0.0,6.5,764.285714285714,518.8,71.0,0.0,1.40665137197699
9,-1.43885190185111,6.5,757.142857142857,530.0,71.0,0.0,1.33925675088291
10,-1.43885190185111,6.5,764.285714285714,530.0,71.0,0.0,1.33925675088291
11,-1.4005035337299,6.5,757.142857142857,537.8,71.0,0.0,1.27186212978884
12,-1.4005035337299,6.5,764.285714285714,537.8,71.0,0.0,1.27186212978884
13,-1.3621551656087,6.5,757.142857142857,549.4,71.0,0.0,1.20446750869477
14,-1.3621551656087,6.5,764.285714285714,549.4,71.0,0.0,1.20446750869477
15,-1.32380679748749,6.5,757.142857142857,558.2,71.0,0.0,1.13707288760069
16,-1.32380679748749,6.5,764.285714285714,558.2,71.0,0.0,1.13707288760069
17,-1.28545842936629,6.5,757.142857142857,558.2,71.0,18.3765182186235,1.06967826650662
18,-1.28545842936629,6.5,757.142857142857,558.2,71.0,70.2631578947368,1.06967826650662
19,-1.28545842936629,6.5,764.285714285714,558.2,71.0,18.3765182186235,1.06967826650662
20,-1.28545842936629,6.5,764.285714285714,558.2,71.0,70.2631578947368,1.06967826650662
21,-1.24711006124508,6.5,757.142857142857,544.0,71.0,112.961538461538,1.00228364541255
22,-1.24711006124508,6.5,764.285714285714,544.0,71.0,112.961538461538,1.00228364541255
23,-1.24711006124508,6.5,771.428571428571,544.0,71.0,112.961538461538,1.00228364541255
24,-1.27873871664546,6.5,757.142857142857,519.8,71.0,112.961538461538,0.934889024318472
25,-1.27873871664546,6.5,764.285714285714,519.8,71.0,112.961538461538,0.934889024318472
26,-1.31037223189886,6.4,757.142857142857,512.4,71.2,112.961538461538,0.867494403224399
27,-1.31037223189886,6.5,757.142857142857,512.4,71.2,112.961538461538,0.867494403224399
28,-1.31037223189886,6.5,764.285714285714,512.4,71.2,112.961538461538,0.867494403224399
29,-1.34200574715225,6.4,757.142857142857,500.4,71.0,112.961538461538,0.800099782130325
30,-1.34200574715225,6.4,764.285714285714,500.4,71.0,112.961538461538,0.800099782130325
31,-1.34200574715225,6.5,757.142857142857,500.4,71.0,112.961538461538,0.800099782130325
32,-1.34200574715225,6.5,764.285714285714,500.4,71.0,112.961538461538,0.800099782130325
33,-1.37363926240565,5.7,757.142857142857,494.0,72.0,112.961538461538,0.732705161036251
34,-1.37363926240565,5.7,764.285714285714,494.0,72.0,112.961538461538,0.732705161036251
35,-1.37363926240565,5.9,757.142857142857,494.0,72.0,112.961538461538,0.732705161036251
36,-1.37363926240565,6.0,757.142857142857,494.0,72.0,112.961538461538,0.732705161036251
37,-1.37363926240565,6.0,764.285714285714,494.0,72.0,112.961538461538,0.732705161036251
38,-1.37363926240565,6.1,757.142857142857,494.0,72.0,112.961538461538,0.732705161036251
39,-1.37363926240565,6.1,764.285714285714,494.0,72.0,112.961538461538,0.732705161036251
40,-1.37363926240565,6.2,757.142857142857,494.0,72.0,112.961538461538,0.732705161036251
41,-1.37363926240565,6.4,757.142857142857,494.0,72.0,112.961538461538,0.732705161036251
42,-1.37363926240565,6.4,764.285714285714,494.0,72.0,112.961538461538,0.732705161036251
43,-1.37363926240565,6.5,757.142857142857,494.0,72.0,112.961538461538,0.732705161036251
44,-1.37363926240565,6.5,764.285714285714,494.0,72.0,112.961538461538,0.732705161036251
45,-1.40527277765904,5.8,757.142857142857,488.0,72.0,112.961538461538,0.665310539942178
46,-1.40527277765904,5.8,764.285714285714,488.0,72.0,112.961538461538,0.665310539942178
47,-1.40527277765904,5.9,757.142857142857,488.0,72.0,112.961538461538,0.665310539942178
48,-1.40527277765904,5.9,764.285714285714,488.0,72.0,112.961538461538,0.665310539942178
49,-1.40527277765904,6.0,757.142857142857,488.0,72.0,112.961538461538,0.665310539942178
50,-1.40527277765904,6.0,764.285714285714,488.0,72.0,112.961538461538,0.665310539942178
51,-1.40527277765904,6.0,771.428571428571,488.0,72.0,112.961538461538,0.665310539942178
52,-1.40527277765904,6.1,757.142857142857,488.0,72.0,112.961538461538,0.665310539942178
53,-1.40527277765904,6.1,764.285714285714,488.0,72.0,112.961538461538,0.665310539942178
54,-1.43690629291244,5.6,757.142857142857,481.0,72.0,112.961538461538,0.597915918848104
55,-1.43690629291244,5.7,757.142857142857,481.0,72.0,112.961538461538,0.597915918848104
56,-1.43690629291244,5.8,757.142857142857,481.0,72.0,112.961538461538,0.597915918848104
57,-1.43690629291244,5.8,764.285714285714,481.0,72.0,112.961538461538,0.597915918848104
58,-1.43690629291244,5.9,757.142857142857,481.0,72.0,112.961538461538,0.597915918848104
59,-1.43690629291244,5.9,764.285714285714,481.0,72.0,112.961538461538,0.597915918848104
60,-1.43690629291244,6.0,757.142857142857,481.0,72.0,112.961538461538,0.597915918848104
61,-1.43690629291244,6.0,764.285714285714,481.0,72.0,112.961538461538,0.597915918848104
62,-1.43690629291244,6.1,757.142857142857,481.0,72.0,112.961538461538,0.597915918848104
63,-1.43690629291244,6.1,764.285714285714,481.0,72.0,112.961538461538,0.597915918848104
64,-1.46954831363733,5.9,757.142857142857,473.0,72.0,112.961538461538,0.53052129775403
65,-1.46954831363733,6.0,757.142857142857,473.0,72.0,112.961538461538,0.53052129775403
66,-1.46954831363733,6.0,764.285714285714,473.0,72.0,112.961538461538,0.53052129775403
67,-1.46954831363733,6.1,757.142857142857,473.0,72.0,112.961538461538,0.53052129775403
68,-1.46954831363733,6.1,764.285714285714,473.0,72.0,112.961538461538,0.53052129775403
69,-1.46954831363733,6.2,757.142857142857,473.0,72.0,112.961538461538,0.53052129775403
70,-1.50219050079308,5.9,757.142857142857,478.0,72.0,112.961538461538,0.463126676659957
71,-1.50219050079308,5.9,764.285714285714,478.0,72.0,112.961538461538,0.463126676659957
72,-1.50219050079308,6.0,757.142857142857,478.0,72.0,112.961538461538,0.463126676659957
73,-1.50219050079308,6.0,764.285714285714,478.0,72.0,112.961538461538,0.463126676659957
74,-1.53483268794883,5.6,757.142857142857,486.0,71.0,112.961538461538,0.395732055565883
75,-1.53483268794883,5.6,764.285714285714,486.0,71.0,112.961538461538,0.395732055565883
76,-1.53483268794883,5.7,757.142857142857,486.0,71.0,112.961538461538,0.395732055565883
77,-1.53483268794883,5.8,757.142857142857,486.0,71.0,112.961538461538,0.395732055565883
78,-1.53483268794883,5.8,764.285714285714,486.0,71.0,112.961538461538,0.395732055565883
79,-1.53483268794883,5.8,771.428571428571,486.0,71.0,112.961538461538,0.395732055565883
80,-1.53483268794883,5.9,757.142857142857,486.0,71.0,112.961538461538,0.395732055565883
81,-1.53483268794883,5.9,764.285714285714,486.0,71.0,112.961538461538,0.395732055565883
82,-1.53483268794883,6.0,757.142857142857,486.0,71.0,112.961538461538,0.395732055565883
83,-1.53483268794883,6.0,764.285714285714,486.0,71.0,112.961538461538,0.395732055565883
84,-1.53483268794883,6.3,757.142857142857,486.0,71.0,112.961538461538,0.395732055565883
85,-1.53483268794883,6.4,757.142857142857,486.0,71.0,112.961538461538,0.395732055565883
86,-1.56747487510459,6.4,757.142857142857,469.2,71.0,112.961538461538,0.32833743447181
87,-1.56747487510459,6.4,764.285714285714,469.2,71.0,112.961538461538,0.32833743447181
88,-1.56747487510459,6.4,771.428571428571,469.2,71.0,112.961538461538,0.32833743447181
89,-1.60011706226034,6.4,757.142857142857,468.4,69.2,112.961538461538,0.260942813377736
90,-1.60011706226034,6.4,764.285714285714,468.4,69.2,112.961538461538,0.260942813377736
91,-1.60011706226034,6.4,771.428571428571,468.4,69.2,112.961538461538,0.260942813377736
92,-1.63275924941609,6.4,757.142857142857,465.6,70.8,112.961538461538,0.193548192283663
93,-1.63275924941609,6.4,764.285714285714,465.6,70.8,112.961538461538,0.193548192283663
94,-1.63275924941609,6.4,771.428571428571,465.6,70.8,112.961538461538,0.193548192283663
95,-1.66540143657185,6.3,757.142857142857,467.8,70.0,112.961538461538,0.126153571189589
96,-1.66540143657185,6.3,764.285714285714,467.8,70.0,112.961538461538,0.126153571189589
97,-1.66540143657185,6.3,771.428571428571,467.8,70.0,112.961538461538,0.126153571189589
98,-1.66540143657185,6.4,757.142857142857,467.8,70.0,112.961538461538,0.126153571189589
99,-1.66540143657185,6.4,764.285714285714,467.8,70.0,112.961538461538,0.126153571189589
100,-1.6980436237276,5.9,757.142857142857,472.8,69.0,112.961538461538,0.0587589500955154
101,-1.6980436237276,5.9,764.285714285714,472.8,69.0,112.961538461538,0.0587589500955154
102,-1.6980436237276,6.0,757.142857142857,472.8,69.0,112.961538461538,0.0587589500955154
103,-1.6980436237276,6.0,764.285714285714,472.8,69.0,112.961538461538,0.0587589500955154
104,-1.6980436237276,6.1,757.142857142857,472.8,69.0,112.961538461538,0.0587589500955154
105,-1.6980436237276,6.2,757.142857142857,472.8,69.0,112.961538461538,0.0587589500955154
106,-1.6980436237276,6.2,764.285714285714,472.8,69.0,112.961538461538,0.0587589500955154
107,-1.6980436237276,6.3,757.142857142857,472.8,69.0,112.961538461538,0.0587589500955154
108,-1.6980436237276,6.3,764.285714285714,472.8,69.0,112.961538461538,0.0587589500955154
109,-1.73068581088335,5.4,757.142857142857,465.4,69.0,70.2631578947368,-0.0086356709985582
110,-1.73068581088335,5.4,757.142857142857,465.4,69.0,112.961538461538,-0.0086356709985582
111,-1.73068581088335,5.4,764.285714285714,465.4,69.0,70.2631578947368,-0.0086356709985582
112,-1.73068581088335,5.4,764.285714285714,465.4,69.0,112.961538461538,-0.0086356709985582
113,-1.73068581088335,5.4,771.428571428571,465.4,69.0,70.2631578947368,-0.0086356709985582
114,-1.73068581088335,5.4,771.428571428571,465.4,69.0,112.961538461538,-0.0086356709985582
115,-1.73068581088335,5.6,757.142857142857,465.4,69.0,70.2631578947368,-0.0086356709985582
116,-1.73068581088335,5.6,757.142857142857,465.4,69.0,112.961538461538,-0.0086356709985582
117,-1.73068581088335,5.8,757.142857142857,465.4,69.0,70.2631578947368,-0.0086356709985582
118,-1.73068581088335,5.8,757.142857142857,465.4,69.0,112.961538461538,-0.0086356709985582
119,-1.73068581088335,5.8,764.285714285714,465.4,69.0,70.2631578947368,-0.0086356709985582
120,-1.73068581088335,5.8,764.285714285714,465.4,69.0,112.961538461538,-0.0086356709985582
121,-1.73068581088335,5.9,757.142857142857,465.4,69.0,70.2631578947368,-0.0086356709985582
122,-1.73068581088335,5.9,757.142857142857,465.4,69.0,112.961538461538,-0.0086356709985582
123,-1.73068581088335,5.9,764.285714285714,465.4,69.0,70.2631578947368,-0.0086356709985582
124,-1.73068581088335,5.9,764.285714285714,465.4,69.0,112.961538461538,-0.0086356709985582
125,-1.73068581088335,6.0,757.142857142857,465.4,69.0,70.2631578947368,-0.0086356709985582
126,-1.73068581088335,6.0,757.142857142857,465.4,69.0,112.961538461538,-0.0086356709985582
