Batch,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precip
1,70,67,90,9,0,28,0
2,69,66,90,6,0,28,0
3,68,66,93,3,0,28,0
4,68,66,93,3,0,28,0
5,68,65,90,3,0,28,0
6,67,65,93,7,0,28,0
7,68,65,90,5,0,28,0
8,69,65,87,6,0,28,0
9,72,65,78,5,0,28,0
10,76,62,62,5,0,28,0
11,79,63,58,7,0,28,0
12,81,61,50,10,0,28,0
13,83,60,46,12,0,28,0
14,84,59,43,10,0,28,0
15,84,63,49,10,0,28,0
16,85,62,46,14,0,28,0
17,85,63,48,10,0,28,0
18,70,67,90,9,0,28,0
19,69,66,90,6,0,28,0
20,68,66,93,3,0,28,0
21,68,66,93,3,0,28,0
22,68,65,90,3,0,28,0
23,67,65,93,7,0,28,0
24,68,65,90,5,0,28,0
25,69,65,87,6,0,28,0
26,72,65,78,5,0,28,0
27,76,62,62,5,0,28,0
28,79,63,58,7,0,28,0
29,81,61,50,10,0,28,0
30,83,60,46,12,0,28,0
31,84,59,43,10,0,28,0
32,84,63,49,10,0,28,0
33,85,62,46,14,0,28,0
34,85,63,48,10,0,28,0
35,70,67,90,9,0,28,0
36,69,66,90,6,0,28,0
37,68,66,93,3,0,28,0
38,68,66,93,3,0,28,0
39,68,65,90,3,0,28,0
40,67,65,93,7,0,28,0
41,68,65,90,5,0,28,0
42,69,65,87,6,0,28,0
43,72,65,78,5,0,28,0
44,76,62,62,5,0,28,0
45,79,63,58,7,0,28,0
46,81,61,50,10,0,28,0
47,83,60,46,12,0,28,0
48,84,59,43,10,0,28,0
49,84,63,49,10,0,28,0
50,85,62,46,14,0,28,0
51,85,63,48,10,0,28,0
52,70,67,90,9,0,28,0
53,69,66,90,6,0,28,0
54,68,66,93,3,0,28,0
55,68,66,93,3,0,28,0
56,68,65,90,3,0,28,0
57,67,65,93,7,0,28,0
58,68,65,90,5,0,28,0
59,69,65,87,6,0,28,0
60,72,65,78,5,0,28,0
61,76,62,62,5,0,28,0
62,79,63,58,7,0,28,0
63,81,61,50,10,0,28,0
64,83,60,46,12,0,28,0
65,84,59,43,10,0,28,0
66,84,63,49,10,0,28,0
67,85,62,46,14,0,28,0
68,85,63,48,10,0,28,0
69,70,67,90,9,0,28,0
70,69,66,90,6,0,28,0
71,68,66,93,3,0,28,0
72,68,66,93,3,0,28,0
73,68,65,90,3,0,28,0
74,67,65,93,7,0,28,0
75,68,65,90,5,0,28,0
76,69,65,87,6,0,28,0
77,72,65,78,5,0,28,0
78,76,62,62,5,0,28,0
79,79,63,58,7,0,28,0
80,81,61,50,10,0,28,0
81,83,60,46,12,0,28,0
82,84,59,43,10,0,28,0
83,84,63,49,10,0,28,0
84,85,62,46,14,0,28,0
85,85,63,48,10,0,28,0
