Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
12:54 AM,70 °F,67 °F,90 %,S,9 mph,0 mph,28.86 in,0.0 in,Fair
1:54 AM,69 °F,66 °F,90 %,SW,6 mph,0 mph,28.85 in,0.0 in,Fair
2:54 AM,68 °F,66 °F,93 %,WSW,3 mph,0 mph,28.84 in,0.0 in,Fair
3:54 AM,68 °F,66 °F,93 %,W,3 mph,0 mph,28.84 in,0.0 in,Fair
4:54 AM,68 °F,65 °F,90 %,WNW,3 mph,0 mph,28.85 in,0.0 in,Fair
5:54 AM,67 °F,65 °F,93 %,NW,7 mph,0 mph,28.86 in,0.0 in,Fair
6:54 AM,68 °F,65 °F,90 %,NW,5 mph,0 mph,28.88 in,0.0 in,Fair
7:54 AM,69 °F,65 °F,87 %,NW,6 mph,0 mph,28.90 in,0.0 in,Smoke
8:54 AM,72 °F,65 °F,78 %,WNW,5 mph,0 mph,28.91 in,0.0 in,Smoke
9:54 AM,76 °F,62 °F,62 %,NW,5 mph,0 mph,28.91 in,0.0 in,Smoke
10:54 AM,79 °F,63 °F,58 %,WNW,7 mph,0 mph,28.92 in,0.0 in,Smoke
11:54 AM,81 °F,61 °F,50 %,WNW,10 mph,0 mph,28.92 in,0.0 in,Smoke
12:54 PM,83 °F,60 °F,46 %,NW,12 mph,0 mph,28.91 in,0.0 in,Smoke
1:54 PM,84 °F,59 °F,43 %,WNW,10 mph,0 mph,28.91 in,0.0 in,Smoke
2:54 PM,84 °F,63 °F,49 %,W,10 mph,0 mph,28.91 in,0.0 in,Smoke
3:54 PM,85 °F,62 °F,46 %,WSW,14 mph,0 mph,28.90 in,0.0 in,Smoke
4:54 PM,85 °F,63 °F,48 %,W,10 mph,0 mph,28.89 in,0.0 in,Smoke
